Summary,Status,Assignee,Assignee (Email Address),Modified Time,Created Time,Due Date,Task Type,Object URL,Profile Name
Scheduled renewal task for Guest User xiangyu.liu,Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-08-11 17:34:00,2026-08-08 17:33:54,2026-08-11 17:33:54,Renew Guest User,,DEV-Guest user renew profile
Scheduled renewal task for Site DorisTEST,Waiting for confirmation,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-30 14:07:42,2026-07-30 14:07:41,2026-08-30 14:07:41,Renew Site,https://7rkd12.sharepoint.com/sites/CWRD_DorisTEST,ADB - SharePoint Site Renewal
Scheduled renewal task for Site DorisTEST,Waiting for confirmation,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-30 14:07:42,2026-07-30 14:07:41,2026-08-30 14:07:41,Renew Site,https://7rkd12.sharepoint.com/sites/CWRD_DorisTEST,ADB - SharePoint Site Renewal
Scheduled renewal task for Guest User Leah Bancale,Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-22 23:10:35,2026-07-19 23:10:34,2026-07-22 23:10:34,Renew Guest User,,DEV-Guest user renew profile
Renewal task for Site TestLink triggered due to workspace inactivity,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-05 10:47:02,2026-06-19 10:46:59,2026-07-19 10:46:58,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_testlink,ADB - SharePoint Site Renewal
Renewal task for Site TestLink triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-05 10:47:02,2026-06-19 10:46:59,2026-07-19 10:46:58,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_testlink,ADB - SharePoint Site Renewal
Scheduled renewal task for Site R1.3 test site,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-08-01 18:41:27,2026-06-18 18:41:04,2026-07-18 18:41:03,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite,ADB - SharePoint Site Renewal
Scheduled renewal task for Site R1.3 test site,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-08-01 18:41:27,2026-06-18 18:41:04,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite,ADB - SharePoint Site Renewal
Renewal task for Site CSD_Demo Division triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-03 15:33:25,2026-06-17 15:33:23,2026-07-17 15:33:23,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_DemoDivision,ADB - SharePoint Site Renewal
Scheduled renewal task for Guest User Bonnie(Admin1),Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-06-09 18:20:37,2026-06-06 18:20:34,2026-06-09 18:20:34,Renew Guest User,,DEV-Guest user renew profile
Renewal task for Site CSD_Site01 triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-16 16:07:50,2026-06-02 16:07:40,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_SiteA01,ADB - SharePoint Site Renewal
Renewal task for Site R1.1 site template triggered due to workspace inactivity,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-10 18:46:07,2026-05-26 18:45:59,2026-06-26 18:45:58,Renew Site,https://7rkd12.sharepoint.com/sites/R1_1sitetemplate,ADB - SharePoint Site Renewal
Renewal task for Site R1.1 site template triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-10 18:46:07,2026-05-26 18:45:59,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/R1_1sitetemplate,ADB - SharePoint Site Renewal
Scheduled renewal task for Guest User xiangyu.liu,Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-05-28 10:49:36,2026-05-25 10:49:33,2026-05-28 10:49:33,Renew Guest User,,DEV-Guest user renew profile
Renewal task for Site TestSite01 triggered due to workspace inactivity,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-08 12:29:34,2026-05-24 12:29:25,2026-06-24 12:29:24,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_testsite01,ADB - SharePoint Site Renewal
Renewal task for Site TestSite01 triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-08 12:29:34,2026-05-24 12:29:25,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_testsite01,ADB - SharePoint Site Renewal
Renewal task for Site R1.1 site template triggered due to workspace inactivity,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-08 11:49:38,2026-05-24 11:49:30,2026-06-24 11:49:30,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test093,ADB - SharePoint Site Renewal
Renewal task for Site R1.1 site template triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-08 11:49:38,2026-05-24 11:49:30,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test093,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test098 triggered due to workspace inactivity,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-08 11:47:44,2026-05-24 11:47:36,2026-06-24 11:47:35,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test098,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test098 triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-08 11:47:44,2026-05-24 11:47:36,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test098,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test092 triggered due to workspace inactivity,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-07-05 12:28:52,2026-05-21 12:28:42,2026-06-21 12:28:42,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test092,ADB - SharePoint Site Renewal
