Report Refresh Date,User Principal Name,Is Deleted,Deleted Date,Last Activity Date,Viewed Or Edited File Count,Synced File Count,Shared Internally File Count,Shared Externally File Count,Visited Page Count,Assigned Products,Report Period
2026-08-10,JoshuaTest@7rkd12.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,Admin@7rkd12.onmicrosoft.com,False,,2026-08-10,322,0,0,0,86,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE,30
2026-08-10,Mihal@7rkd12.onmicrosoft.com,False,,2026-08-10,249,0,0,0,91,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE,30
2026-08-10,ADBDRMTest02@7rkd12.onmicrosoft.com,False,,2026-04-28,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,ADBDRMTest04@7rkd12.onmicrosoft.com,False,,2026-04-17,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,ADBDRMTest06@7rkd12.onmicrosoft.com,False,,2026-04-28,0,0,0,0,0,,30
2026-08-10,Eddie@7rkd12.onmicrosoft.com,False,,2025-09-04,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,opus.reviewer2@7rkd12.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,JimTest@7rkd12.onmicrosoft.com,False,,2026-08-10,42,0,0,0,21,MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,JoniS@7rkd12.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,LeeG@7rkd12.onmicrosoft.com,False,,2025-09-08,0,0,0,0,0,,30
2026-08-10,AdeleV@7rkd12.onmicrosoft.com,False,,2026-06-24,0,0,0,0,0,MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,AdaTest@7rkd12.onmicrosoft.com,False,,2026-07-28,14,0,0,0,4,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,HazelTest@7rkd12.onmicrosoft.com,False,,2025-11-13,0,0,0,0,0,,30
