Report Refresh Date,Site Id,Site URL,Owner Display Name,Is Deleted,Last Activity Date,Site Sensitivity Label Id,External Sharing,Unmanaged Device Policy,Geo Location,File Count,Active File Count,Page View Count,Visited Page Count,Anonymous Link Count,Company Link Count,Secure Link For Guest Count,Secure Link For Member Count,Storage Used (Byte),Storage Allocated (Byte),Root Web Template,Owner Principal Name,Report Period
2026-08-10,019adc9b-031d-4edc-b62f-512ed4671947,,mihal-display-name-24 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1425072,27487790694400,Group,mihal-alias24@7rkd12.onmicrosoft.com,30
2026-08-10,01ec276c-6707-4e7d-bfe9-958051ab28fd,,prj_Ada Team Site-184 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424909,27487790694400,Group,prj_adateamsite-184@7rkd12.onmicrosoft.com,30
2026-08-10,03870489-6e3a-42a8-ada8-9f8327fb792f,,BonnieTeam1 Owners,False,2026-04-28,,True,None,APC,5,0,0,0,0,0,0,0,1734180,1099511627776,Group,BonnieTeam1@7rkd12.onmicrosoft.com,30
2026-08-10,04cba2d6-9147-4f89-bc38-cabe31900391,,teamsite2 Owners,False,2025-12-18,,True,None,APC,2,0,0,0,0,0,0,0,1961582,1073741824,Group,teamsite2@7rkd12.onmicrosoft.com,30
2026-08-10,05a9c1a2-7c00-46bb-9a25-6eb6473e5f11,,prj_Ada Group Site-177 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424909,27487790694400,Group,prj_adagroupsite-177@7rkd12.onmicrosoft.com,30
2026-08-10,07cc016b-61c2-4a0d-a97e-066a6a6b9026,,prj_Ada Group Site-170 Owners,False,2026-07-29,,True,None,APC,0,0,1,1,0,0,0,0,1425601,27487790694400,Group,prj_adagroupsite-170@7rkd12.onmicrosoft.com,30
2026-08-10,08bdaa2f-a3a2-4fca-a803-9df74115c567,,prj_Team Site-731012 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1425038,27487790694400,Group,prj_teamsite-731012@7rkd12.onmicrosoft.com,30
2026-08-10,0af98201-c1a6-4a72-a5a9-6c92149e4c82,,Project3 Owners,False,2026-08-09,,False,None,APC,21,4,6,3,0,0,0,0,185811950,10737418240,Group,Project3@7rkd12.onmicrosoft.com,30
2026-08-10,0cbeef42-c1fa-4968-be9e-8035ec096b88,,prj_Ada Team Site-225 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1425565,27487790694400,Group,prj_adateamsite-225@7rkd12.onmicrosoft.com,30
2026-08-10,0cd33ee2-58e4-47a9-8fcc-2782b932c715,,prj_Ada Team Site-081 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424958,27487790694400,Group,prj_adateamsite-081@7rkd12.onmicrosoft.com,30
2026-08-10,0d4fac57-b478-4a74-8daa-c2f3b23188ab,,prj_Team Site-731036 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1413330,27487790694400,Group,prj_teamsite-731036@7rkd12.onmicrosoft.com,30
2026-08-10,0e1e5196-310e-40ce-ad1b-5e379cea044d,,Leila Test Site1 Owners,False,2025-03-28,,True,None,APC,5,0,0,0,0,0,0,0,1688674,27487790694400,Group,LeilaTestSite1@7rkd12.onmicrosoft.com,30
2026-08-10,10e8740b-c21d-4ee6-817c-f68212c5f495,,teams76 Owners,False,2026-07-07,,True,None,APC,3,0,0,0,0,0,0,0,1723945,27487790694400,Group,teams76@7rkd12.onmicrosoft.com,30
2026-08-10,12c58897-0bb1-4d56-932f-56709839a502,,prj_Team Site-731033 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1413526,27487790694400,Group,prj_teamsite-731033@7rkd12.onmicrosoft.com,30
2026-08-10,13b33074-70ef-4543-86e4-db6f5f678e9d,,prj_Group Site-731058 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1425081,27487790694400,Group,prj_groupsite-731058@7rkd12.onmicrosoft.com,30
2026-08-10,1471b00b-70fd-4f40-9fe4-abb1b83a745a,,prj_Ada Team Site-159 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424921,27487790694400,Group,prj_adateamsite-159@7rkd12.onmicrosoft.com,30
2026-08-10,14c15ed4-b114-45e2-bbe8-662b2a3ffdf1,,prj_Ada Team Site-119 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1425473,27487790694400,Group,prj_adateamsite-119@7rkd12.onmicrosoft.com,30
2026-08-10,14ca8779-9264-4442-ba5c-5b0655f2ed27,,prj_Team Site-731009 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1412978,27487790694400,Group,prj_teamsite-731009@7rkd12.onmicrosoft.com,30
2026-08-10,15341ae3-71d9-48e5-9012-096c99ab6f16,,prj_Ada Team Site-102 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424958,27487790694400,Group,prj_adateamsite-102@7rkd12.onmicrosoft.com,30
2026-08-10,15600f21-89c7-4c3a-8c27-d01789a3fc35,,prj_Ada Team Site-172 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1425436,27487790694400,Group,prj_adateamsite-172@7rkd12.onmicrosoft.com,30
2026-08-10,15c66314-b81c-4677-80b3-03909a56eb7a,,NO ACCESS LEAH Owners,False,2026-04-30,,True,None,APC,2,0,0,0,0,0,0,0,1554749,27487790694400,Group,NOACCESSLEAH@7rkd12.onmicrosoft.com,30
2026-08-10,16eb97fa-f19b-4471-b79e-29b109e9db0e,,prj_Ada Group Site-011 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424930,27487790694400,Group,prj_adagroupsite-011@7rkd12.onmicrosoft.com,30
2026-08-10,17453e72-e104-450c-9848-6f50e1a157a2,,prj_MihalGroupsite-001 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1412954,27487790694400,Group,prj_mihalgroupsite-001@7rkd12.onmicrosoft.com,30
2026-08-10,1804b871-ab98-47bc-8ffa-82809763cbab,,prj_Team Site-731026 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1413452,27487790694400,Group,prj_teamsite-731026@7rkd12.onmicrosoft.com,30
2026-08-10,1840cb45-38e5-4ba1-a95d-1eedd6299169,,prj_Ada Group Site-008 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424986,27487790694400,Group,prj_adagroupsite-008@7rkd12.onmicrosoft.com,30
2026-08-10,185b3823-8ad1-4e5e-8a0e-347c1dc19593,,prj_Ada Team Site-109 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1425596,27487790694400,Group,prj_adateamsite-109@7rkd12.onmicrosoft.com,30
2026-08-10,1ccdba44-d7fd-491b-aa48-b49c99139c31,,RAC Team Owners,False,2026-05-01,,True,None,APC,5,0,0,0,0,0,0,0,1717576,27487790694400,Group,RACteam@7rkd12.onmicrosoft.com,30
2026-08-10,1cd83ea6-8587-4487-a21b-2d16393537bd,,prj_Ada Team Site-084 Owners,False,,,True,None,APC,0,0,0,0,0,0,0,0,1424921,27487790694400,Group,prj_adateamsite-084@7rkd12.onmicrosoft.com,30
